instant	dteday	season	yr	mnth	holiday	weekday	workingday	weathersit	temp	atemp	hum	windspeed	casual	registered	cnt
79	20/03/2011	1	0	3	0	0	0	1	3325	32575	47375	207721	1047	1424	2471
80	21/03/2011	2	0	3	0	1	1	2	430435	409735	737391	288783	401	1676	2077
81	22/03/2011	2	0	3	0	2	1	1	441667	440642	624583	22575	460	2243	2703
82	23/03/2011	2	0	3	0	3	1	2	346957	337939	839565	234261	203	1918	2121
83	24/03/2011	2	0	3	0	4	1	2	285	270833	805833	243787	166	1699	1865
84	25/03/2011	2	0	3	0	5	1	1	264167	256312	495	230725	300	1910	2210
85	26/03/2011	2	0	3	0	6	0	1	265833	257571	394167	209571	981	1515	2496
86	27/03/2011	2	0	3	0	0	0	2	253043	250339	493913	1843	472	1221	1693
87	28/03/2011	2	0	3	0	1	1	1	264348	257574	302174	212204	222	1806	2028
88	29/03/2011	2	0	3	0	2	1	1	3025	292908	314167	226996	317	2108	2425
89	30/03/2011	2	0	3	0	3	1	2	3	29735	646667	172888	168	1368	1536
90	31/03/2011	2	0	3	0	4	1	3	268333	257575	918333	217646	179	1506	1685
91	01/04/2011	2	0	4	0	5	1	2	3	283454	68625	258708	307	1920	2227
92	02/04/2011	2	0	4	0	6	0	2	315	315637	65375	197146	898	1354	2252
93	03/04/2011	2	0	4	0	0	0	1	378333	378767	48	182213	1651	1598	3249
94	04/04/2011	2	0	4	0	1	1	1	573333	542929	42625	385571	734	2381	3115
95	05/04/2011	2	0	4	0	2	1	2	414167	39835	642083	388067	167	1628	1795
96	06/04/2011	2	0	4	0	3	1	1	390833	387608	470833	263063	413	2395	2808
97	07/04/2011	2	0	4	0	4	1	1	4375	433696	602917	162312	571	2570	3141
98	08/04/2011	2	0	4	0	5	1	2	335833	324479	83625	226992	172	1299	1471
99	09/04/2011	2	0	4	0	6	0	2	3425	341529	8775	133083	879	1576	2455
100	10/04/2011	2	0	4	0	0	0	2	426667	426737	8575	146767	1188	1707	2895
101	11/04/2011	2	0	4	0	1	1	2	595652	565217	716956	324474	855	2493	3348
102	12/04/2011	2	0	4	0	2	1	2	5025	493054	739167	274879	257	1777	2034
103	13/04/2011	2	0	4	0	3	1	2	4125	417283	819167	250617	209	1953	2162
104	14/04/2011	2	0	4	0	4	1	1	4675	462742	540417	1107	529	2738	3267
105	15/04/2011	2	0	4	1	5	0	1	446667	441913	67125	226375	642	2484	3126
106	16/04/2011	2	0	4	0	6	0	3	430833	425492	888333	340808	121	674	795
107	17/04/2011	2	0	4	0	0	0	1	456667	445696	479583	303496	1558	2186	3744
108	18/04/2011	2	0	4	0	1	1	1	5125	503146	5425	163567	669	2760	3429
109	19/04/2011	2	0	4	0	2	1	2	505833	489258	665833	157971	409	2795	3204
110	20/04/2011	2	0	4	0	3	1	1	595	564392	614167	241925	613	3331	3944
111	21/04/2011	2	0	4	0	4	1	1	459167	453892	407083	325258	745	3444	4189
112	22/04/2011	2	0	4	0	5	1	2	336667	321954	729583	219521	177	1506	1683
113	23/04/2011	2	0	4	0	6	0	2	46	450121	887917	230725	1462	2574	4036
114	24/04/2011	2	0	4	0	0	0	2	581667	551763	810833	192175	1710	2481	4191
115	25/04/2011	2	0	4	0	1	1	1	606667	5745	776667	185333	773	3300	4073
116	26/04/2011	2	0	4	0	2	1	1	631667	594083	729167	3265	678	3722	4400
117	27/04/2011	2	0	4	0	3	1	2	62	575142	835417	3122	547	3325	3872
118	28/04/2011	2	0	4	0	4	1	2	6175	578929	700833	320908	569	3489	4058
119	29/04/2011	2	0	4	0	5	1	1	51	497463	457083	240063	878	3717	4595
120	30/04/2011	2	0	4	0	6	0	1	4725	464021	503333	235075	1965	3347	5312
121	01/05/2011	2	0	5	0	0	0	2	451667	448204	762083	106354	1138	2213	3351
122	02/05/2011	2	0	5	0	1	1	2	549167	532833	73	183454	847	3554	4401
123	03/05/2011	2	0	5	0	2	1	2	616667	582079	697083	342667	603	3848	4451
124	04/05/2011	2	0	5	0	3	1	2	414167	40465	737083	328996	255	2378	2633
125	05/05/2011	2	0	5	0	4	1	1	459167	441917	444167	295392	614	3819	4433
126	06/05/2011	2	0	5	0	5	1	1	479167	474117	59	228246	894	3714	4608
127	07/05/2011	2	0	5	0	6	0	1	52	512621	54125	16045	1612	3102	4714
128	08/05/2011	2	0	5	0	0	0	1	528333	518933	631667	746375	1401	2932	4333
129	09/05/2011	2	0	5	0	1	1	1	5325	525246	58875	176	664	3698	4362
130	10/05/2011	2	0	5	0	2	1	1	5325	522721	489167	115671	694	4109	4803
131	11/05/2011	2	0	5	0	3	1	1	5425	5284	632917	120642	550	3632	4182
132	12/05/2011	2	0	5	0	4	1	1	535	523363	7475	189667	695	4169	4864
133	13/05/2011	2	0	5	0	5	1	2	5125	4943	863333	179725	692	3413	4105
134	14/05/2011	2	0	5	0	6	0	2	520833	500629	9225	13495	902	2507	3409
135	15/05/2011	2	0	5	0	0	0	2	5625	536	867083	152979	1582	2971	4553
136	16/05/2011	2	0	5	0	1	1	1	5775	550512	787917	126871	773	3185	3958
137	17/05/2011	2	0	5	0	2	1	2	561667	538529	837917	277354	678	3445	4123
138	18/05/2011	2	0	5	0	3	1	2	55	527158	87	201492	536	3319	3855
139	19/05/2011	2	0	5	0	4	1	2	530833	510742	829583	108213	735	3840	4575
140	20/05/2011	2	0	5	0	5	1	1	536667	529042	719583	125013	909	4008	4917
141	21/05/2011	2	0	5	0	6	0	1	6025	571975	626667	12065	2258	3547	5805
142	22/05/2011	2	0	5	0	0	0	1	604167	5745	749583	148008	1576	3084	4660
143	23/05/2011	2	0	5	0	1	1	2	631667	590296	81	233842	836	3438	4274
144	24/05/2011	2	0	5	0	2	1	2	66	604813	740833	207092	659	3833	4492
145	25/05/2011	2	0	5	0	3	1	1	660833	615542	69625	154233	740	4238	4978
146	26/05/2011	2	0	5	0	4	1	1	708333	654688	6775	199642	758	3919	4677
147	27/05/2011	2	0	5	0	5	1	1	681667	637008	65375	240679	871	3808	4679
148	28/05/2011	2	0	5	0	6	0	1	655833	612379	729583	230092	2001	2757	4758
149	29/05/2011	2	0	5	0	0	0	1	6675	61555	81875	213938	2355	2433	4788
150	30/05/2011	2	0	5	1	1	0	1	733333	671092	685	131225	1549	2549	4098
151	31/05/2011	2	0	5	0	2	1	1	775	725383	636667	111329	673	3309	3982
152	01/06/2011	2	0	6	0	3	1	2	764167	720967	677083	207092	513	3461	3974
153	02/06/2011	2	0	6	0	4	1	1	715	643942	305	292287	736	4232	4968
154	03/06/2011	2	0	6	0	5	1	1	62	587133	354167	253121	898	4414	5312
155	04/06/2011	2	0	6	0	6	0	1	635	594696	45625	123142	1869	3473	5342
156	05/06/2011	2	0	6	0	0	0	2	648333	616804	6525	138692	1685	3221	4906
157	06/06/2011	2	0	6	0	1	1	1	678333	621858	6	121896	673	3875	4548
158	07/06/2011	2	0	6	0	2	1	1	7075	65595	597917	187808	763	4070	4833
159	08/06/2011	2	0	6	0	3	1	1	775833	727279	622083	136817	676	3725	4401
160	09/06/2011	2	0	6	0	4	1	2	808333	757579	568333	149883	563	3352	3915
161	10/06/2011	2	0	6	0	5	1	1	755	703292	605	140554	815	3771	4586
162	11/06/2011	2	0	6	0	6	0	1	725	678038	654583	15485	1729	3237	4966
163	12/06/2011	2	0	6	0	0	0	1	6925	643325	747917	163567	1467	2993	4460
164	13/06/2011	2	0	6	0	1	1	1	635	601654	494583	30535	863	4157	5020
165	14/06/2011	2	0	6	0	2	1	1	604167	591546	507083	269283	727	4164	4891
166	15/06/2011	2	0	6	0	3	1	1	626667	587754	471667	167912	769	4411	5180
167	16/06/2011	2	0	6	0	4	1	2	628333	595346	688333	206471	545	3222	3767
168	17/06/2011	2	0	6	0	5	1	1	649167	600383	735833	143029	863	3981	4844
169	18/06/2011	2	0	6	0	6	0	1	696667	643954	670417	119408	1807	3312	5119
170	19/06/2011	2	0	6	0	0	0	2	699167	645846	666667	102	1639	3105	4744
171	20/06/2011	2	0	6	0	1	1	2	635	595346	74625	155475	699	3311	4010
172	21/06/2011	3	0	6	0	2	1	2	680833	637646	770417	171025	774	4061	4835
173	22/06/2011	3	0	6	0	3	1	1	733333	693829	7075	172262	661	3846	4507
174	23/06/2011	3	0	6	0	4	1	2	728333	693833	703333	238804	746	4044	4790
175	24/06/2011	3	0	6	0	5	1	1	724167	656583	573333	222025	969	4022	4991
176	25/06/2011	3	0	6	0	6	0	1	695	643313	483333	209571	1782	3420	5202
177	26/06/2011	3	0	6	0	0	0	1	68	637629	513333	945333	1920	3385	5305
178	27/06/2011	3	0	6	0	1	1	2	6825	637004	658333	107588	854	3854	4708
179	28/06/2011	3	0	6	0	2	1	1	744167	692558	634167	144283	732	3916	4648
180	29/06/2011	3	0	6	0	3	1	1	728333	654688	497917	261821	848	4377	5225
181	30/06/2011	3	0	6	0	4	1	1	696667	637008	434167	185312	1027	4488	5515
182	01/07/2011	3	0	7	0	5	1	1	7225	652162	39625	102608	1246	4116	5362
183	02/07/2011	3	0	7	0	6	0	1	738333	667308	444583	115062	2204	2915	5119
184	03/07/2011	3	0	7	0	0	0	2	716667	668575	6825	228858	2282	2367	4649
185	04/07/2011	3	0	7	1	1	0	2	726667	665417	637917	814792	3065	2978	6043
186	05/07/2011	3	0	7	0	2	1	1	746667	696338	590417	126258	1031	3634	4665
187	06/07/2011	3	0	7	0	3	1	1	72	685633	743333	149883	784	3845	4629
188	07/07/2011	3	0	7	0	4	1	1	75	686871	65125	1592	754	3838	4592
189	08/07/2011	3	0	7	0	5	1	2	709167	670483	757917	225129	692	3348	4040
190	09/07/2011	3	0	7	0	6	0	1	733333	664158	609167	167912	1988	3348	5336
191	10/07/2011	3	0	7	0	0	0	1	7475	690025	578333	183471	1743	3138	4881
192	11/07/2011	3	0	7	0	1	1	1	7625	729804	635833	282337	723	3363	4086
193	12/07/2011	3	0	7	0	2	1	1	794167	739275	559167	200254	662	3596	4258
194	13/07/2011	3	0	7	0	3	1	1	746667	689404	631667	146133	748	3594	4342
195	14/07/2011	3	0	7	0	4	1	1	680833	635104	47625	240667	888	4196	5084
196	15/07/2011	3	0	7	0	5	1	1	663333	624371	59125	182833	1318	4220	5538
197	16/07/2011	3	0	7	0	6	0	1	686667	638263	585	208342	2418	3505	5923
198	17/07/2011	3	0	7	0	0	0	1	719167	669833	604167	245033	2006	3296	5302
199	18/07/2011	3	0	7	0	1	1	1	746667	703925	65125	215804	841	3617	4458
200	19/07/2011	3	0	7	0	2	1	1	776667	747479	650417	1306	752	3789	4541
201	20/07/2011	3	0	7	0	3	1	1	768333	74685	707083	113817	644	3688	4332
202	21/07/2011	3	0	7	0	4	1	2	815	826371	69125	222021	632	3152	3784
203	22/07/2011	3	0	7	0	5	1	1	848333	840896	580417	1331	562	2825	3387
204	23/07/2011	3	0	7	0	6	0	1	849167	804287	5	131221	987	2298	3285
205	24/07/2011	3	0	7	0	0	0	1	83	794829	550833	169171	1050	2556	3606
206	25/07/2011	3	0	7	0	1	1	1	743333	720958	757083	908083	568	3272	3840
207	26/07/2011	3	0	7	0	2	1	1	771667	696979	540833	200258	750	3840	4590
208	27/07/2011	3	0	7	0	3	1	1	775	690667	402917	183463	755	3901	4656
209	28/07/2011	3	0	7	0	4	1	1	779167	7399	583333	178479	606	3784	4390
210	29/07/2011	3	0	7	0	5	1	1	838333	785967	5425	174138	670	3176	3846
211	30/07/2011	3	0	7	0	6	0	1	804167	728537	465833	168537	1559	2916	4475
212	31/07/2011	3	0	7	0	0	0	1	805833	729796	480833	164813	1524	2778	4302
213	01/08/2011	3	0	8	0	1	1	1	771667	703292	550833	156717	729	3537	4266
214	02/08/2011	3	0	8	0	2	1	1	783333	707071	49125	20585	801	4044	4845
215	03/08/2011	3	0	8	0	3	1	2	731667	679937	6575	135583	467	3107	3574
216	04/08/2011	3	0	8	0	4	1	2	71	664788	7575	19715	799	3777	4576
217	05/08/2011	3	0	8	0	5	1	1	710833	656567	630833	184696	1023	3843	4866
218	06/08/2011	3	0	8	0	6	0	2	716667	676154	755	22825	1521	2773	4294
219	07/08/2011	3	0	8	0	0	0	1	7425	715292	752917	201487	1298	2487	3785
220	08/08/2011	3	0	8	0	1	1	1	765	703283	592083	192175	846	3480	4326
221	09/08/2011	3	0	8	0	2	1	1	775	724121	570417	151121	907	3695	4602
222	10/08/2011	3	0	8	0	3	1	1	766667	684983	424167	200258	884	3896	4780
223	11/08/2011	3	0	8	0	4	1	1	7175	651521	42375	164796	812	3980	4792
224	12/08/2011	3	0	8	0	5	1	1	708333	654042	415	125621	1051	3854	4905
225	13/08/2011	3	0	8	0	6	0	2	685833	645858	729583	211454	1504	2646	4150
226	14/08/2011	3	0	8	0	0	0	2	676667	624388	8175	222633	1338	2482	3820
227	15/08/2011	3	0	8	0	1	1	1	665833	616167	712083	208954	775	3563	4338
228	16/08/2011	3	0	8	0	2	1	1	700833	645837	578333	236329	721	4004	4725
229	17/08/2011	3	0	8	0	3	1	1	723333	666671	575417	143667	668	4026	4694
230	18/08/2011	3	0	8	0	4	1	1	711667	662258	654583	233208	639	3166	3805
231	19/08/2011	3	0	8	0	5	1	2	685	633221	722917	139308	797	3356	4153
232	20/08/2011	3	0	8	0	6	0	1	6975	648996	674167	104467	1914	3277	5191
233	21/08/2011	3	0	8	0	0	0	1	710833	675525	77	248754	1249	2624	3873
234	22/08/2011	3	0	8	0	1	1	1	691667	638254	47	27675	833	3925	4758
235	23/08/2011	3	0	8	0	2	1	1	640833	606067	455417	146763	1281	4614	5895
236	24/08/2011	3	0	8	0	3	1	1	673333	630692	605	253108	949	4181	5130
237	25/08/2011	3	0	8	0	4	1	2	684167	645854	771667	210833	435	3107	3542
238	26/08/2011	3	0	8	0	5	1	1	7	659733	76125	839625	768	3893	4661
239	27/08/2011	3	0	8	0	6	0	2	68	635556	85	375617	226	889	1115
240	28/08/2011	3	0	8	0	0	0	1	707059	647959	561765	304659	1415	2919	4334
241	29/08/2011	3	0	8	0	1	1	1	636667	607958	554583	159825	729	3905	4634
242	30/08/2011	3	0	8	0	2	1	1	639167	594704	548333	125008	775	4429	5204
243	31/08/2011	3	0	8	0	3	1	1	656667	611121	597917	833333	688	4370	5058
244	01/09/2011	3	0	9	0	4	1	1	655	614921	639167	141796	783	4332	5115
245	02/09/2011	3	0	9	0	5	1	2	643333	604808	727083	139929	875	3852	4727
246	03/09/2011	3	0	9	0	6	0	1	669167	633213	716667	185325	1935	2549	4484
247	04/09/2011	3	0	9	0	0	0	1	709167	665429	742083	206467	2521	2419	4940
248	05/09/2011	3	0	9	1	1	0	2	673333	625646	790417	212696	1236	2115	3351
249	06/09/2011	3	0	9	0	2	1	3	54	5152	886957	343943	204	2506	2710
250	07/09/2011	3	0	9	0	3	1	3	599167	544229	917083	970208	118	1878	1996
251	08/09/2011	3	0	9	0	4	1	3	633913	555361	939565	192748	153	1689	1842
252	09/09/2011	3	0	9	0	5	1	2	65	578946	897917	124379	417	3127	3544
253	10/09/2011	3	0	9	0	6	0	1	66	607962	75375	153608	1750	3595	5345
254	11/09/2011	3	0	9	0	0	0	1	653333	609229	71375	115054	1633	3413	5046
255	12/09/2011	3	0	9	0	1	1	1	644348	60213	692174	88913	690	4023	4713
256	13/09/2011	3	0	9	0	2	1	1	650833	603554	7125	141804	701	4062	4763
257	14/09/2011	3	0	9	0	3	1	1	673333	6269	697083	1673	647	4138	4785
258	15/09/2011	3	0	9	0	4	1	2	5775	553671	709167	271146	428	3231	3659
259	16/09/2011	3	0	9	0	5	1	2	469167	461475	590417	164183	742	4018	4760
260	17/09/2011	3	0	9	0	6	0	2	491667	478512	718333	189675	1434	3077	4511
261	18/09/2011	3	0	9	0	0	0	1	5075	490537	695	178483	1353	2921	4274
262	19/09/2011	3	0	9	0	1	1	2	549167	529675	69	151742	691	3848	4539
263	20/09/2011	3	0	9	0	2	1	2	561667	532217	88125	134954	438	3203	3641
264	21/09/2011	3	0	9	0	3	1	2	595	550533	9	964042	539	3813	4352
265	22/09/2011	3	0	9	0	4	1	2	628333	554963	902083	128125	555	4240	4795
266	23/09/2011	4	0	9	0	5	1	2	609167	522125	9725	783667	258	2137	2395
267	24/09/2011	4	0	9	0	6	0	2	606667	564412	8625	783833	1776	3647	5423
268	25/09/2011	4	0	9	0	0	0	2	634167	572637	845	503792	1544	3466	5010
269	26/09/2011	4	0	9	0	1	1	2	649167	589042	848333	1107	684	3946	4630
270	27/09/2011	4	0	9	0	2	1	2	636667	574525	885417	118171	477	3643	4120
271	28/09/2011	4	0	9	0	3	1	2	635	575158	84875	148629	480	3427	3907
272	29/09/2011	4	0	9	0	4	1	1	616667	574512	699167	172883	653	4186	4839
273	30/09/2011	4	0	9	0	5	1	1	564167	544829	6475	206475	830	4372	5202
274	01/10/2011	4	0	10	0	6	0	2	41	412863	75375	292296	480	1949	2429
275	02/10/2011	4	0	10	0	0	0	2	356667	345317	791667	222013	616	2302	2918
276	03/10/2011	4	0	10	0	1	1	2	384167	392046	760833	833458	330	3240	3570
277	04/10/2011	4	0	10	0	2	1	1	484167	472858	71	205854	486	3970	4456
278	05/10/2011	4	0	10	0	3	1	1	538333	527138	647917	17725	559	4267	4826
279	06/10/2011	4	0	10	0	4	1	1	494167	480425	620833	134954	639	4126	4765
280	07/10/2011	4	0	10	0	5	1	1	510833	504404	684167	223917	949	4036	4985
281	08/10/2011	4	0	10	0	6	0	1	521667	513242	70125	454042	2235	3174	5409
282	09/10/2011	4	0	10	0	0	0	1	540833	523983	7275	6345	2397	3114	5511
283	10/10/2011	4	0	10	1	1	0	1	570833	542925	73375	423042	1514	3603	5117
284	11/10/2011	4	0	10	0	2	1	2	566667	546096	80875	143042	667	3896	4563
285	12/10/2011	4	0	10	0	3	1	3	543333	517717	90625	24815	217	2199	2416
286	13/10/2011	4	0	10	0	4	1	2	589167	551804	896667	141787	290	2623	2913
287	14/10/2011	4	0	10	0	5	1	2	550833	529675	71625	223883	529	3115	3644
288	15/10/2011	4	0	10	0	6	0	1	506667	498725	483333	258083	1899	3318	5217
289	16/10/2011	4	0	10	0	0	0	1	511667	503154	486667	281717	1748	3293	5041
290	17/10/2011	4	0	10	0	1	1	1	534167	510725	579583	175379	713	3857	4570
291	18/10/2011	4	0	10	0	2	1	2	5325	522721	701667	110087	637	4111	4748
292	19/10/2011	4	0	10	0	3	1	3	541739	513848	895217	243339	254	2170	2424
293	20/10/2011	4	0	10	0	4	1	1	475833	466525	63625	422275	471	3724	4195
294	21/10/2011	4	0	10	0	5	1	1	4275	423596	574167	221396	676	3628	4304
295	22/10/2011	4	0	10	0	6	0	1	4225	425492	629167	926667	1499	2809	4308
296	23/10/2011	4	0	10	0	0	0	1	421667	422333	74125	995125	1619	2762	4381
297	24/10/2011	4	0	10	0	1	1	1	463333	457067	772083	118792	699	3488	4187
298	25/10/2011	4	0	10	0	2	1	1	471667	463375	622917	166658	695	3992	4687
299	26/10/2011	4	0	10	0	3	1	2	484167	472846	720417	148642	404	3490	3894
300	27/10/2011	4	0	10	0	4	1	2	47	457046	812917	197763	240	2419	2659
301	28/10/2011	4	0	10	0	5	1	2	330833	318812	585833	229479	456	3291	3747
302	29/10/2011	4	0	10	0	6	0	3	254167	227913	8825	351371	57	570	627
303	30/10/2011	4	0	10	0	0	0	1	319167	321329	62375	176617	885	2446	3331
304	31/10/2011	4	0	10	0	1	1	1	34	356063	703333	10635	362	3307	3669
305	01/11/2011	4	0	11	0	2	1	1	400833	397088	68375	135571	410	3658	4068
306	02/11/2011	4	0	11	0	3	1	1	3775	390133	71875	820917	370	3816	4186
307	03/11/2011	4	0	11	0	4	1	1	408333	405921	702083	136817	318	3656	3974
308	04/11/2011	4	0	11	0	5	1	2	403333	403392	6225	271779	470	3576	4046
309	05/11/2011	4	0	11	0	6	0	1	326667	323854	519167	189062	1156	2770	3926
310	06/11/2011	4	0	11	0	0	0	1	348333	362358	734583	920542	952	2697	3649
311	07/11/2011	4	0	11	0	1	1	1	395	400871	75875	57225	373	3662	4035
312	08/11/2011	4	0	11	0	2	1	1	408333	412246	721667	690375	376	3829	4205
313	09/11/2011	4	0	11	0	3	1	1	4	409079	758333	621958	305	3804	4109
314	10/11/2011	4	0	11	0	4	1	2	38	373721	813333	189067	190	2743	2933
315	11/11/2011	4	0	11	1	5	0	1	324167	306817	44625	314675	440	2928	3368
316	12/11/2011	4	0	11	0	6	0	1	356667	357942	552917	212062	1275	2792	4067
317	13/11/2011	4	0	11	0	0	0	1	440833	43055	458333	281721	1004	2713	3717
318	14/11/2011	4	0	11	0	1	1	1	53	524612	587083	306596	595	3891	4486
319	15/11/2011	4	0	11	0	2	1	2	53	507579	68875	199633	449	3746	4195
320	16/11/2011	4	0	11	0	3	1	3	456667	451988	93	136829	145	1672	1817
321	17/11/2011	4	0	11	0	4	1	2	341667	323221	575833	305362	139	2914	3053
322	18/11/2011	4	0	11	0	5	1	1	274167	272721	41	168533	245	3147	3392
323	19/11/2011	4	0	11	0	6	0	1	329167	324483	502083	224496	943	2720	3663
324	20/11/2011	4	0	11	0	0	0	2	463333	457058	684583	18595	787	2733	3520
